toward	[tɔːrdz]	к, по направлению к
give	[ɡɪv]	дать, передать
guilty	[ˈɡɪlti]	виновный, виноватый
satisfaction	[ˌsætɪsˈfækʃn]	удовлетворение
than	[ðən]	чем, нежели
man	[mæn]	мужчина, человек
act	[ækt]	действовать, поступать, действие
fifty	[ˈfɪfti]	пятьдесят, 50
hour	[ˈaʊər]	час
grave	[ɡreɪv]	могила, серьезный
just	[dʒʌst]	точно, как раз, справедливый
writer	[ˈraɪtər]	писатель
depend	[dɪˈpend]	зависеть, рассчитывать
helpful	[ˈhelpfl]	полезный
physical	[ˈfɪzɪkl]	физический, материальный
cupboard	[ˈkʌbərd]	шкаф, буфет
admit	[ədˈmɪt]	допускать, принимать
attention	[əˈtenʃn]	внимание
sheet	[ʃiːt]	лист, простыня
airplane	[ˈerpleɪn]	самолет
round	[raʊnd]	круглый, вокруг
film	[fɪlm]	фильм, снимать фильм
city	[ˈsɪti]	город
ought	[ˈɔt]	(+ to) должен
picture	[ˈpɪktʃər]	картинка, рисунок, изобразить
win	[wɪn]	победить, выиграть, победа
English	[ˈɪŋɡlɪʃ]	английский язык, англичане, английский
brick	[brɪk]	кирпич
vegetable	[ˈvedʒtəbl]	овощ
winter	[ˈwɪntər]	зима
house	[haʊs]	дом, жилище
dollar	[ˈdɑːlər]	доллар
sock	[sɑːk]	носок
because	[bɪˈkɔːz, bɪˈkʌz]	потому что
supply	[səˈplaɪ]	поставка, снабжение, поставлять
sad	[sæd]	грустный, печальный
return	[rɪˈtɜːrn]	возвращать, возвращаться, возвращение
absent	[æbˈsent]	отсутствующий, отсутствовать
thus	[ðʌs]	таким образом, поэтому
temporary	[ˈtempəreri]	временный
must	[mʌst]	должен, обязан, необходимость
ever	[ˈevər]	всегда, вечно
problem	[ˈprɑbləm]	проблема, проблемный
bite	[baɪt]	кусать(ся), укусить, укус
recognize	[ˈrekəɡnaɪz]	распознавать, признавать
sore	[sɔːr]	больной, болезненный, больное место
politician	[ˌpɑːləˈtɪʃn]	политик
discussion	[dɪˈskʌʃn]	дискуссия, обсуждение
yes	[jes]	да, утвердительный ответ
smooth	[smuːð]	гладкий, плавный
player	[ˈpleɪər]	игрок, плеер
beat	[biːt]	бить, удар
research	[rɪˈsɜːrtʃ, ˈriːsɜːrt&]	исследование, исследовать
Tuesday	[ˈtuːzd(e)ɪ]	вторник
wing	[wɪŋ]	крыло
typical	[ˈtɪpɪkl]	типичный
elbow	[ˈelboʊ]	локоть
race	[reɪs]	гонка, заезд, участвовать в гонках
brush	[brʌʃ]	щетка, кисть, чистить (щеткой)
substance	[ˈsʌbstəns]	вещество, субстанция
wish	[wɪʃ]	желать, желание
furniture	[ˈfɜːrnɪtʃər]	мебель
think	[θɪŋk]	думать
send	[send]	посылать
soil	[sɔɪl]	почва, земля, пачкать(ся)
egg	[eɡ]	яйцо
whether	[ˈweðər]	ли, который из двух
local	[ˈloʊkl]	местный, локальный, местный (житель)
most	[moʊst]	наиболее, самый большой
require	[rɪˈkwaɪər]	требовать, нуждаться
election	[ɪˈlekʃn]	выборы
